field,type,class_or_sign,front_snr,side_snr,local_region,local_snr,detection_rate,detection_rate_128,monotonicity,probe_accuracy,strength_correlation,worst_group_detection,base_count,alias_group,final_tier,recommended_strategy,recommended_weight,recommended_visibility_threshold,decision_status
face_detail_cheek_def,categorical,cheek_def_01,0.915283255811011,0.9130317165815224,cheeks,1.3651260142646213,0.7058823529411765,0.35294117647058826,1.0,,1.0,0.8445360620207837,17,,B,local_region_head,0.765,256,provisional_no_probe_exposure_normalized
face_detail_cheek_def,categorical,cheek_def_02,0.648378475465152,0.632557808098574,cheeks,1.308648575907081,0.8235294117647058,0.35294117647058826,1.0,,1.0,0.718976984058186,17,,B,local_region_head,0.765,255,provisional_no_probe_exposure_normalized
face_detail_cheek_fat,categorical,cheek_fat_01_neg,0.704421260022046,0.678418758252606,cheeks,1.3134882980046694,0.9411764705882353,0.4117647058823529,1.0,,1.0,0.9510469114542941,17,,A,independent_prediction,0.988,255,provisional_no_probe_exposure_normalized
face_detail_cheek_fat,categorical,cheek_fat_01_pos,0.8836897484663949,0.7841137996758909,cheeks,1.3419778915905667,1.0,0.47058823529411764,1.0,,1.0,1.0491852399209827,17,,A,independent_prediction,0.988,255,provisional_no_probe_exposure_normalized
face_detail_cheek_fat,categorical,cheek_fat_02_pos,0.9099785092500203,0.833117058596713,cheeks,1.4553835130870365,1.0,0.47058823529411764,1.0,,1.0,1.0106376179613306,17,,A,independent_prediction,0.988,255,provisional_no_probe_exposure_normalized
face_detail_cheek_fat,categorical,cheek_fat_03_pos,1.0140476897118393,0.9546671610260726,cheeks,1.6741042040270955,1.0,0.5294117647058824,1.0,,1.0,1.0996046339381216,17,,A,independent_prediction,0.988,255,provisional_no_probe_exposure_normalized
face_detail_cheek_fat,categorical,cheek_fat_04_pos,0.9936953893233508,0.9998244055245783,cheeks,1.739569790692175,1.0,0.5294117647058824,1.0,,1.0,1.0601024673026904,17,,A,independent_prediction,0.988,255,provisional_no_probe_exposure_normalized
face_detail_chin_cleft,categorical,chin_cleft,0.6992538483030771,0.6611728228970662,chin,0.8638748406907732,0.4117647058823529,0.35294117647058826,1.0,,1.0,0.13809593796548572,17,,C,conditioned_local_head,0.412,256,provisional_no_probe_exposure_normalized
face_detail_chin_cleft,categorical,chin_dimple,0.6429664506195086,0.6225510961065838,chin,0.7960200716325098,0.4117647058823529,0.35294117647058826,1.0,,1.0,0.15830851313697267,17,,C,conditioned_local_head,0.412,256,provisional_no_probe_exposure_normalized
face_detail_chin_def,categorical,chin_def,0.65712736328522,0.6127951962770521,chin,0.7579354054955846,0.4117647058823529,0.35294117647058826,1.0,,1.0,0.17116121377890417,17,,C,conditioned_local_head,0.412,256,provisional_no_probe_exposure_normalized
face_detail_chin_def,categorical,chin_def_neg,0.6670491397325503,0.5923975048301625,chin,0.8601493502774381,0.4117647058823529,0.35294117647058826,1.0,,1.0,0.31776347361931556,17,,C,conditioned_local_head,0.412,256,provisional_no_probe_exposure_normalized
face_detail_eye_lower_lid_def,categorical,eye_lower_lid_def,0.20277584320302983,0.0921447919440679,eyes,0.7199205156210753,0.35294117647058826,0.35294117647058826,1.0,,1.0,0.3378481105062014,17,,C,conditioned_local_head,0.441,256,provisional_no_probe_exposure_normalized
face_detail_eye_lower_lid_def,categorical,eye_lower_lid_def_02,0.6010752487872566,0.5210159248679579,eyes,1.017551961903048,0.5294117647058824,0.35294117647058826,1.0,,1.0,0.5577472217346207,17,,C,conditioned_local_head,0.441,256,provisional_no_probe_exposure_normalized
face_detail_eye_socket,categorical,eye_socket_01,0.7179089236203074,0.6324708105509084,eyes,1.269694862317652,0.6470588235294118,0.35294117647058826,1.0,,1.0,0.7170651187366106,17,eye_socket_01=eye_socket_color_01;eye_socket_02=eye_socket_color_02;eye_socket_03=eye_socket_color_03,D,group_similar_classes_plus_strength,0.588,256,provisional_no_probe_exposure_normalized
face_detail_eye_socket,categorical,eye_socket_02,0.6135787024042941,0.5273006151549797,eyes,1.1240292885874803,0.6470588235294118,0.35294117647058826,1.0,,1.0,0.708967883990861,17,eye_socket_01=eye_socket_color_01;eye_socket_02=eye_socket_color_02;eye_socket_03=eye_socket_color_03,D,group_similar_classes_plus_strength,0.588,256,provisional_no_probe_exposure_normalized
face_detail_eye_socket,categorical,eye_socket_03,0.540821376918288,0.45793166298968724,eyes,1.0392564906596917,0.5294117647058824,0.35294117647058826,1.0,,1.0,0.608675851649761,17,eye_socket_01=eye_socket_color_01;eye_socket_02=eye_socket_color_02;eye_socket_03=eye_socket_color_03,D,group_similar_classes_plus_strength,0.588,256,provisional_no_probe_exposure_normalized
face_detail_eye_socket,categorical,eye_socket_color_01,0.6128057609460074,0.5175886741609118,eyes,1.205903193056016,0.6470588235294118,0.4117647058823529,1.0,,1.0,0.7228651588014002,17,eye_socket_01=eye_socket_color_01;eye_socket_02=eye_socket_color_02;eye_socket_03=eye_socket_color_03,D,group_similar_classes_plus_strength,0.588,256,provisional_no_probe_exposure_normalized
face_detail_eye_socket,categorical,eye_socket_color_02,0.5872663326681917,0.5007416680116169,eyes,1.2716767755378138,0.6470588235294118,0.4117647058823529,1.0,,1.0,0.7279711157006772,17,eye_socket_01=eye_socket_color_01;eye_socket_02=eye_socket_color_02;eye_socket_03=eye_socket_color_03,D,group_similar_classes_plus_strength,0.588,256,provisional_no_probe_exposure_normalized
