field,type,class_count,front_snr,side_snr,local_region,local_snr,detection_rate,detection_rate_128,monotonicity,probe_accuracy,strength_correlation,worst_group_detection,alias_group,final_tier,recommended_strategy,recommended_weight,source_head_weight,merged_head_weight,recommended_visibility_threshold,decision_status
face_detail_cheek_def,categorical,2,0.7818308656380815,0.7727947623400482,cheeks,1.3368872950858512,0.7647058823529411,0.35294117647058826,1.0,,1.0,0.718976984058186,,B,local_region_head,0.765,0.765,,256,provisional_no_probe_exposure_normalized
face_detail_cheek_fat,categorical,5,0.9099785092500203,0.833117058596713,cheeks,1.4553835130870365,0.9882352941176471,0.48235294117647054,1.0,,1.0,0.9510469114542941,,A,independent_prediction,0.988,0.988,,255,provisional_no_probe_exposure_normalized
face_detail_chin_cleft,categorical,2,0.6711101494612929,0.641861959501825,chin,0.8299474561616416,0.4117647058823529,0.35294117647058826,1.0,,1.0,0.13809593796548572,,C,conditioned_local_head,0.412,0.412,,256,provisional_no_probe_exposure_normalized
face_detail_chin_def,categorical,2,0.6620882515088852,0.6025963505536074,chin,0.8090423778865113,0.4117647058823529,0.35294117647058826,1.0,,1.0,0.17116121377890417,,C,conditioned_local_head,0.412,0.412,,256,provisional_no_probe_exposure_normalized
face_detail_eye_lower_lid_def,categorical,2,0.4019255459951432,0.3065803584060129,eyes,0.8687362387620616,0.4411764705882353,0.35294117647058826,1.0,,1.0,0.3378481105062014,,C,conditioned_local_head,0.441,0.441,,256,provisional_no_probe_exposure_normalized
face_detail_eye_socket,categorical,6,0.6000360468070995,0.5091651710862644,eyes,1.164966240821748,0.5882352941176471,0.37254901960784315,1.0,,1.0,0.608675851649761,eye_socket_01=eye_socket_color_01;eye_socket_02=eye_socket_color_02;eye_socket_03=eye_socket_color_03,D,group_similar_classes_plus_strength,0.588,0.588,,256,provisional_no_probe_exposure_normalized
face_detail_nasolabial,categorical,4,0.6687368914743417,0.6462399638972895,mouth,1.220677099005383,0.9117647058823529,0.38235294117647056,1.0,,1.0,0.815877088754305,,A,independent_prediction,0.912,0.912,,255,provisional_no_probe_exposure_normalized
face_detail_nose_ridge_def,signed,2,0.6915822217896169,0.6075454111447706,nose,1.1855786408506437,0.6764705882352942,0.47058823529411764,1.0,,1.0,0.4037645914936515,,B,local_region_head,0.676,0.676,,256,provisional_no_probe_exposure_normalized
face_detail_nose_tip_def,categorical,1,0.7234682492102196,0.6773871700499643,nose,1.109043879459317,0.5882352941176471,0.4117647058823529,1.0,,1.0,0.40518418227921477,,B,strength_only,0.588,0.0,,256,provisional_no_probe_exposure_normalized
face_detail_temple_def,categorical,1,0.8890020799780175,0.6632176546575813,cheeks,0.818844271919874,0.4117647058823529,0.35294117647058826,1.0,,1.0,0.20638511494272163,,C,strength_only,0.412,0.0,,256,provisional_no_probe_exposure_normalized
gene_bs_cheek_forward,signed,2,0.7675689656780301,0.8780598478511941,cheeks,1.7360491393578181,1.0,0.6176470588235294,1.0,,1.0,1.2321748389737768,,A,independent_prediction,1.0,1.0,,255,provisional_no_probe_exposure_normalized
gene_bs_cheek_height,signed,2,0.76429680014204,0.762666330617905,cheeks,1.502767885711369,1.0,0.6176470588235294,1.0,,1.0,1.0372434367767944,,A,independent_prediction,1.0,1.0,,255,provisional_no_probe_exposure_normalized
gene_bs_cheek_width,signed,2,0.8550810515991905,0.7129815274567778,cheeks,1.618757387428252,1.0,0.5588235294117647,1.0,,1.0,1.0705395575048475,,A,independent_prediction,1.0,1.0,,255,provisional_no_probe_exposure_normalized
