base_id,region,view,ssim_noise_p95,edge_noise_p95,highpass_noise_p95,baseline_pair_count,bit_exact_baseline
race_00_face_21039,cheeks,front,0.0005,0.001,0.002,10,True
race_00_face_21039,cheeks,side,0.0005,0.001,0.002,10,True
race_00_face_21039,chin,front,0.0005,0.001,0.002,10,True
race_00_face_21039,chin,side,0.0005,0.001,0.002,10,True
race_00_face_21039,ears,front,0.0005,0.001,0.002,10,True
race_00_face_21039,ears,side,0.0005,0.001,0.002,10,True
race_00_face_21039,eyes,front,0.0005,0.001,0.002,10,True
race_00_face_21039,eyes,side,0.0005,0.001,0.002,10,True
race_00_face_21039,forehead,front,0.0005,0.001,0.002,10,True
race_00_face_21039,forehead,side,0.0005,0.001,0.002,10,True
race_00_face_21039,head,front,0.0005,0.001,0.002,10,True
race_00_face_21039,head,side,0.0005,0.001,0.002,10,True
race_00_face_21039,jaw,front,0.0005,0.001,0.002,10,True
race_00_face_21039,jaw,side,0.0005,0.001,0.002,10,True
race_00_face_21039,mouth,front,0.0005,0.001,0.002,10,True
race_00_face_21039,mouth,side,0.0005,0.001,0.002,10,True
race_00_face_21039,neck,front,0.0005,0.001,0.002,10,True
race_00_face_21039,neck,side,0.0005,0.001,0.002,10,True
race_00_face_21039,nose,front,0.0005,0.001,0.002,10,True
race_00_face_21039,nose,side,0.0005,0.001,0.002,10,True
race_01_face_45219,cheeks,front,0.0005,0.001,0.002,10,True
race_01_face_45219,cheeks,side,0.0005,0.001,0.002,10,True
race_01_face_45219,chin,front,0.0005,0.001,0.002,10,True
race_01_face_45219,chin,side,0.0005,0.001,0.002,10,True
race_01_face_45219,ears,front,0.0005,0.001,0.002,10,True
race_01_face_45219,ears,side,0.0005,0.001,0.002,10,True
race_01_face_45219,eyes,front,0.0005,0.001,0.002,10,True
race_01_face_45219,eyes,side,0.0005,0.001,0.002,10,True
race_01_face_45219,forehead,front,0.0005,0.001,0.002,10,True
race_01_face_45219,forehead,side,0.0005,0.001,0.002,10,True
race_01_face_45219,head,front,0.0005,0.001,0.002,10,True
race_01_face_45219,head,side,0.0005,0.001,0.002,10,True
race_01_face_45219,jaw,front,0.0005,0.001,0.002,10,True
race_01_face_45219,jaw,side,0.0005,0.001,0.002,10,True
race_01_face_45219,mouth,front,0.0005,0.001,0.002,10,True
race_01_face_45219,mouth,side,0.0005,0.001,0.002,10,True
race_01_face_45219,neck,front,0.0005,0.001,0.002,10,True
race_01_face_45219,neck,side,0.0005,0.001,0.002,10,True
race_01_face_45219,nose,front,0.0005,0.001,0.002,10,True
race_01_face_45219,nose,side,0.0005,0.001,0.002,10,True
race_02_face_65091,cheeks,front,0.0005,0.001,0.002,10,True
race_02_face_65091,cheeks,side,0.0005,0.001,0.002,10,True
race_02_face_65091,chin,front,0.0005,0.001,0.002,10,True
race_02_face_65091,chin,side,0.0005,0.001,0.002,10,True
race_02_face_65091,ears,front,0.0005,0.001,0.002,10,True
race_02_face_65091,ears,side,0.0005,0.001,0.002,10,True
race_02_face_65091,eyes,front,0.0005,0.001,0.002,10,True
race_02_face_65091,eyes,side,0.0005,0.001,0.002,10,True
race_02_face_65091,forehead,front,0.0005,0.001,0.002,10,True
race_02_face_65091,forehead,side,0.0005,0.001,0.002,10,True
race_02_face_65091,head,front,0.0005,0.001,0.002,10,True
race_02_face_65091,head,side,0.0005,0.001,0.002,10,True
race_02_face_65091,jaw,front,0.0005,0.001,0.002,10,True
race_02_face_65091,jaw,side,0.0005,0.001,0.002,10,True
race_02_face_65091,mouth,front,0.0005,0.001,0.002,10,True
race_02_face_65091,mouth,side,0.0005,0.001,0.002,10,True
race_02_face_65091,neck,front,0.0005,0.001,0.002,10,True
race_02_face_65091,neck,side,0.0005,0.001,0.002,10,True
race_02_face_65091,nose,front,0.0005,0.001,0.002,10,True
race_02_face_65091,nose,side,0.0005,0.001,0.002,10,True
race_03_face_110476,cheeks,front,0.0005,0.001,0.002,10,True
race_03_face_110476,cheeks,side,0.0005,0.001,0.002,10,True
race_03_face_110476,chin,front,0.0005,0.001,0.002,10,True
race_03_face_110476,chin,side,0.0005,0.001,0.002,10,True
race_03_face_110476,ears,front,0.0005,0.001,0.002,10,True
race_03_face_110476,ears,side,0.0005,0.001,0.002,10,True
race_03_face_110476,eyes,front,0.0005,0.001,0.002,10,True
race_03_face_110476,eyes,side,0.0005,0.001,0.002,10,True
race_03_face_110476,forehead,front,0.0005,0.001,0.002,10,True
race_03_face_110476,forehead,side,0.0005,0.001,0.002,10,True
race_03_face_110476,head,front,0.0005,0.001,0.002,10,True
race_03_face_110476,head,side,0.0005,0.001,0.002,10,True
race_03_face_110476,jaw,front,0.0005,0.001,0.002,10,True
race_03_face_110476,jaw,side,0.0005,0.001,0.002,10,True
race_03_face_110476,mouth,front,0.0005,0.001,0.002,10,True
race_03_face_110476,mouth,side,0.0005,0.001,0.002,10,True
race_03_face_110476,neck,front,0.0005,0.001,0.002,10,True
race_03_face_110476,neck,side,0.0005,0.001,0.002,10,True
race_03_face_110476,nose,front,0.0005,0.001,0.002,10,True
race_03_face_110476,nose,side,0.0005,0.001,0.002,10,True
race_04_face_127236,cheeks,front,0.0005,0.001,0.002,10,True
race_04_face_127236,cheeks,side,0.0005,0.001,0.002,10,True
race_04_face_127236,chin,front,0.0005,0.001,0.002,10,True
race_04_face_127236,chin,side,0.0005,0.001,0.002,10,True
race_04_face_127236,ears,front,0.0005,0.001,0.002,10,True
race_04_face_127236,ears,side,0.0005,0.001,0.002,10,True
race_04_face_127236,eyes,front,0.0005,0.001,0.002,10,True
race_04_face_127236,eyes,side,0.0005,0.001,0.002,10,True
race_04_face_127236,forehead,front,0.0005,0.001,0.002,10,True
race_04_face_127236,forehead,side,0.0005,0.001,0.002,10,True
race_04_face_127236,head,front,0.0005,0.001,0.002,10,True
race_04_face_127236,head,side,0.0005,0.001,0.002,10,True
race_04_face_127236,jaw,front,0.0005,0.001,0.002,10,True
race_04_face_127236,jaw,side,0.0005,0.001,0.002,10,True
race_04_face_127236,mouth,front,0.0005,0.001,0.002,10,True
race_04_face_127236,mouth,side,0.0005,0.001,0.002,10,True
race_04_face_127236,neck,front,0.0005,0.001,0.002,10,True
race_04_face_127236,neck,side,0.0005,0.001,0.002,10,True
race_04_face_127236,nose,front,0.0005,0.001,0.002,10,True
race_04_face_127236,nose,side,0.0005,0.001,0.002,10,True
race_05_face_175238,cheeks,front,0.0005,0.001,0.002,10,True
race_05_face_175238,cheeks,side,0.0005,0.001,0.002,10,True
race_05_face_175238,chin,front,0.0005,0.001,0.002,10,True
race_05_face_175238,chin,side,0.0005,0.001,0.002,10,True
race_05_face_175238,ears,front,0.0005,0.001,0.002,10,True
race_05_face_175238,ears,side,0.0005,0.001,0.002,10,True
race_05_face_175238,eyes,front,0.0005,0.001,0.002,10,True
race_05_face_175238,eyes,side,0.0005,0.001,0.002,10,True
race_05_face_175238,forehead,front,0.0005,0.001,0.002,10,True
race_05_face_175238,forehead,side,0.0005,0.001,0.002,10,True
race_05_face_175238,head,front,0.0005,0.001,0.002,10,True
race_05_face_175238,head,side,0.0005,0.001,0.002,10,True
race_05_face_175238,jaw,front,0.0005,0.001,0.002,10,True
race_05_face_175238,jaw,side,0.0005,0.001,0.002,10,True
race_05_face_175238,mouth,front,0.0005,0.001,0.002,10,True
race_05_face_175238,mouth,side,0.0005,0.001,0.002,10,True
race_05_face_175238,neck,front,0.0005,0.001,0.002,10,True
race_05_face_175238,neck,side,0.0005,0.001,0.002,10,True
race_05_face_175238,nose,front,0.0005,0.001,0.002,10,True
race_05_face_175238,nose,side,0.0005,0.001,0.002,10,True
race_06_face_201038,cheeks,front,0.002499818801879883,0.0023345535155385733,0.006726008374243975,10,False
race_06_face_201038,cheeks,side,0.003776371479034424,0.00267464155331254,0.00821315124630928,10,False
