base_id,baseline_count,unique_baseline_hashes,bit_exact_baselines,brightness_min,brightness_max,brightness_range,front_noise_p95,side_noise_p95,face_noise_p95
race_00_face_21039,5,1,True,69.43550464346444,69.43550464346444,0.0,0.0005,0.0005,0.0005
race_01_face_45219,5,1,True,78.71665509573687,78.71665509573687,0.0,0.0005,0.0005,0.0005
race_02_face_65091,5,1,True,70.68069063358386,70.68069063358386,0.0,0.0005,0.0005,0.0005
race_03_face_110476,5,1,True,74.95424250656525,74.95424250656525,0.0,0.0005,0.0005,0.0005
race_04_face_127236,5,1,True,82.48392747542435,82.48392747542435,0.0,0.0005,0.0005,0.0005
race_05_face_175238,5,1,True,72.40690029883184,72.40690029883184,0.0,0.0005,0.0005,0.0005
race_06_face_201038,5,2,False,69.84368076307767,80.88358135369818,11.039900590620505,0.01106974296271801,0.012072335928678513,0.012141690589487553
race_07_face_210696,5,5,False,61.72202098866049,72.43675832855403,10.714737339893546,0.014909988176077603,0.016067909263074397,0.016235866583883762
race_08_face_267756,5,5,False,63.91385694306096,76.70307786732671,12.789220924265749,0.015205748099833726,0.015671135624870658,0.016068730037659407
race_09_face_273355,5,5,False,50.35212552949581,59.024074577157975,8.671949047662167,0.026584581844508643,0.026656861323863267,0.02779120737686753
race_10_face_301860,5,5,False,53.75212955416704,62.52626802298087,8.774138468813831,0.02159207910299301,0.021908998768776656,0.02280456032603979
race_11_face_330553,5,4,False,53.34473522694115,61.3532272832463,8.008492056305151,0.02119840681552887,0.02190065011382103,0.022341132164001465
race_12_face_365482,5,4,False,58.90224677271675,69.98891706158753,11.086670288870778,0.016344834165647623,0.01701021324843168,0.01730355182662606
race_13_face_397793,5,5,False,46.27378932858422,51.36201414671939,5.088224818135167,0.02883837474510073,0.029067036416381593,0.030047228559851643
race_14_face_430777,5,5,False,60.471051545976835,77.18944831819051,16.71839677221368,0.01734431991353631,0.018062765151262282,0.018215348105877636
race_15_face_463512,5,5,False,57.56088220793464,74.64141286083694,17.080530652902297,0.020314189977943896,0.02105247722938657,0.021069081593304874
race_16_face_496466,5,4,False,58.39742421040981,67.91545574370893,9.518031533299123,0.01733979769051075,0.018296414986252785,0.01872074231505394
